AREA,AREA_TITLE,PRIM_STATE,GEOGRAPHY_TYPE,COVERAGE_STATUS
0040900,"Sacramento-Roseville-Folsom, CA",CA,msa,matched
0040980,"Saginaw, MI",MI,msa,matched
0041060,"St. Cloud, MN",MN,msa,matched
0041100,"St. George, UT",UT,msa,matched
0041140,"St. Joseph, MO-KS",MO,msa,matched
0041180,"St. Louis, MO-IL",MO,msa,matched
0041420,"Salem, OR",OR,msa,matched
0041500,"Salinas, CA",CA,msa,matched
0041540,"Salisbury, MD",MD,msa,matched
0041620,"Salt Lake City-Murray, UT",UT,msa,matched
0041660,"San Angelo, TX",TX,msa,matched
0041700,"San Antonio-New Braunfels, TX",TX,msa,matched
0041740,"San Diego-Chula Vista-Carlsbad, CA",CA,msa,matched
0041860,"San Francisco-Oakland-Fremont, CA",CA,msa,matched
0041940,"San Jose-Sunnyvale-Santa Clara, CA",CA,msa,matched
0041980,"San Juan-Bayamon-Caguas, PR",PR,msa,matched
0042020,"San Luis Obispo-Paso Robles, CA",CA,msa,matched
0042100,"Santa Cruz-Watsonville, CA",CA,msa,matched
0042140,"Santa Fe, NM",NM,msa,matched
0042200,"Santa Maria-Santa Barbara, CA",CA,msa,matched
0042220,"Santa Rosa-Petaluma, CA",CA,msa,matched
0042340,"Savannah, GA",GA,msa,matched
0042540,"Scranton--Wilkes-Barre, PA",PA,msa,matched
0042660,"Seattle-Tacoma-Bellevue, WA",WA,msa,matched
0042680,"Sebastian-Vero Beach-West Vero Corridor, FL",FL,msa,matched
0042700,"Sebring, FL",FL,msa,matched
0043100,"Sheboygan, WI",WI,msa,matched
0043300,"Sherman-Denison, TX",TX,msa,matched
0043340,"Shreveport-Bossier City, LA",LA,msa,matched
0043420,"Sierra Vista-Douglas, AZ",AZ,msa,matched
0043580,"Sioux City, IA-NE-SD",IA,msa,matched
0043620,"Sioux Falls, SD-MN",SD,msa,matched
0043780,"South Bend-Mishawaka, IN-MI",IN,msa,matched
0043900,"Spartanburg, SC",SC,msa,matched
0044060,"Spokane-Spokane Valley, WA",WA,msa,matched
0044100,"Springfield, IL",IL,msa,matched
0044180,"Springfield, MO",MO,msa,matched
0044220,"Springfield, OH",OH,msa,matched
0044300,"State College, PA",PA,msa,matched
0044420,"Staunton-Stuarts Draft, VA",VA,msa,matched
0044700,"Stockton-Lodi, CA",CA,msa,matched
0044940,"Sumter, SC",SC,msa,matched
0045060,"Syracuse, NY",NY,msa,matched
0045220,"Tallahassee, FL",FL,msa,matched
0045300,"Tampa-St. Petersburg-Clearwater, FL",FL,msa,matched
0045460,"Terre Haute, IN",IN,msa,matched
0045500,"Texarkana, TX-AR",TX,msa,matched
0045780,"Toledo, OH",OH,msa,matched
0045820,"Topeka, KS",KS,msa,matched
0045940,"Trenton-Princeton, NJ",NJ,msa,matched
0046060,"Tucson, AZ",AZ,msa,matched
0046140,"Tulsa, OK",OK,msa,matched
0046220,"Tuscaloosa, AL",AL,msa,matched
0046300,"Twin Falls, ID",ID,msa,matched
0046340,"Tyler, TX",TX,msa,matched
0046520,"Urban Honolulu, HI",HI,msa,matched
0046540,"Utica-Rome, NY",NY,msa,matched
